Date,Storage
2020-03-28,2.3641107355593705
2020-03-29,2.36408921456346
2020-03-30,2.3640861338722905
2020-03-31,2.366104524473188
2020-04-01,2.3728436272829567
2020-04-02,2.3778188678555625
2020-04-03,2.3779872769370773
2020-04-04,2.384357537845952
2020-04-05,2.3871222009174136
2020-04-06,2.3874542032759765
2020-04-07,2.390134063329768
2020-04-08,2.397079398083669
2020-04-09,2.394332865488185
2020-04-10,2.399427437581471
2020-04-11,2.3942423811533238
2020-04-12,2.384964286274691
2020-04-13,2.3849359207789043
2020-04-14,2.384959786032171
2020-04-15,2.39390666190205
2020-04-16,2.399600873357607
2020-04-17,2.400092643311655
2020-04-18,2.4025324738451874
2020-04-19,2.40270182679071
2020-04-20,2.4027187338389924
2020-04-21,2.4027313360695386
2020-04-22,2.4027582444553746
2020-04-23,2.402750865000309
2020-04-24,2.405855175303926
2020-04-25,2.408906149198043
2020-04-26,2.4094968716841936
2020-04-27,2.4095101152280187
2020-04-28,2.409524616429203
2020-04-29,2.4095427215248355
2020-04-30,2.409545556760201
2020-05-01,2.410977322804845
2020-05-02,2.412205992922989
2020-05-03,2.4122642258471587
2020-05-04,2.412384248351898
2020-05-05,2.4124528827601655
2020-05-06,2.4127038983133393
2020-05-07,2.4129027645171544
2020-05-08,2.4129916223778207
2020-05-09,2.4129800805068546
2020-05-10,2.412796736734001
2020-05-11,2.4127949210332496
2020-05-12,2.4128073398723413
2020-05-13,2.412820405263672
2020-05-14,2.417365675848042
2020-05-15,2.4176862401574364
2020-05-16,2.4174880851157163
2020-05-17,2.4179177803501566
2020-05-18,2.418058866079728
2020-05-19,2.418955907088093
2020-05-20,2.4200049295410277
2020-05-21,2.4198447674837045
2020-05-22,2.420333509177726
2020-05-23,2.420787560205321
2020-05-24,2.42104658692713
2020-05-25,2.4211613895937463
2020-05-26,2.4238223563410024
2020-05-27,2.4257642298318385
2020-05-28,2.4256598936214115
2020-05-29,2.4262852781914668
2020-05-30,2.426678735092153
2020-05-31,2.4281179166883198
2020-06-01,2.428248619561297
2020-06-02,2.428305388899618
2020-06-03,2.430111885803759
2020-06-04,2.4302855608124645
2020-06-05,2.4304327904470213
2020-06-06,2.4301511398794697
2020-06-07,2.430715471142321
2020-06-08,2.430800003176329
2020-06-09,2.431651247887122
2020-06-10,2.4308283072398034
2020-06-11,2.432156585444803
2020-06-12,2.432258382077109
2020-06-13,2.432311039833547
2020-06-14,2.432307899800475
2020-06-15,2.432322688018192
2020-06-16,2.432334353768318
2020-06-17,2.431805551870477
2020-06-18,2.430360933680478
2020-06-19,2.4276971379986203
2020-06-20,2.435499418679845
2020-06-21,2.4401431068183026
2020-06-22,2.4401807204370716
2020-06-23,2.441047150035674
2020-06-24,2.4411704206927327
2020-06-25,2.4419575671448435
2020-06-26,2.4057421564630603
2020-06-27,2.4022093920958776
2020-06-28,2.4022311116761963
2020-06-29,2.4008545853503165
2020-06-30,2.398477612375993
2020-07-01,2.3985331991988965
2020-07-02,2.3987745983103297
2020-07-03,2.3983404726122295
2020-07-04,2.3988692204556394
2020-07-05,2.3992986170034984
2020-07-06,2.3992986022566685
2020-07-07,2.3992979652691346
2020-07-08,2.399299261090022
2020-07-09,2.399335291109229
2020-07-10,2.399353641856174
2020-07-11,2.392348100630625
2020-07-12,2.3920447640310964
2020-07-13,2.392043895505776
2020-07-14,2.3920446429039997
2020-07-15,2.3916246214378956
2020-07-16,2.3914033033311872
2020-07-17,2.3914072980649914
2020-07-18,2.391408068731754
2020-07-19,2.391407822087058
2020-07-20,2.3914087052990873
2020-07-21,2.3914674207130804
2020-07-22,2.3915402482793273
2020-07-23,2.392017883233024
2020-07-24,2.3927998089369793
2020-07-25,2.3927994643892614
2020-07-26,2.392731774810872
2020-07-27,2.3930085886328825
2020-07-28,2.3930363539718704
2020-07-29,2.393039149738939
2020-07-30,2.3930873472077816
2020-07-31,2.393155297328485
2020-08-01,2.3956389786915677
2020-08-02,2.401092060890126
2020-08-03,2.4010918129031777
2020-08-04,2.401096981383954
2020-08-05,2.4010205940786467
2021-02-03,3.5322055909146237
2021-02-04,3.532457273199947
2021-02-05,3.533117957188127
2021-02-06,3.5373213470706513
2021-02-07,3.53815084728671
2021-02-08,3.5387893584246437
2021-02-09,3.5395371194126914
2021-02-10,3.539975848649111
2021-02-11,3.5399224549454322
2021-02-12,3.5502663080571906
2021-02-13,3.553645102250286
2021-02-14,3.557004384611112
2021-02-15,3.5574255263795034
2021-02-16,3.558299598811815
2021-02-17,3.5592738144254934
2021-02-18,3.5598395578511473
2021-02-19,3.5554161456930973
2021-02-20,3.538049481979882
2021-02-21,3.530820097833768
2021-02-22,3.531164010953055
2021-02-23,3.531693955945472
2021-02-24,3.5230870942404082
2021-02-25,3.5223724567841384
2021-02-26,3.5228924332005485
2021-02-27,3.5299348505705392
2021-02-28,3.5306511416358664
2021-03-01,3.531393364374526
2021-03-02,3.5319153072519436
2021-03-03,3.485217496675129
2021-03-04,3.472588697112062
2021-03-05,3.467887641202348
2021-03-06,3.471771444473416
2021-03-07,3.4510794063469534
2021-03-08,3.4537022007577534
2021-03-09,3.454780854859079
2021-03-10,3.4492163502895785
2021-03-11,3.4575046274216024
2021-03-12,3.4832502229570372
2021-03-13,3.500834135473188
2021-03-14,3.501613554288633
2021-03-15,3.502666989496599
2021-03-16,3.503332791400694
2021-03-17,3.5039429091460383
2021-03-18,3.505317387825602
2021-03-19,3.504246576573631
2021-03-20,3.5130531153481717
2021-03-21,3.5183588337127323
2021-03-22,3.520478172879666
